pCO_atm,pCO2_atm,pCO2_ppm,aC_CO_CO2,C_wt_CO_CO2,pO2_atm,log10_pO2,aC_CH4_H2,C_wt_CH4_H2
0.2,0.0004941713361323833,494.17133613238326,4094.208772881379,1.427,1.9882094200498507e-21,-20.701537872865288,7.640286909736712,1.427
0.2,0.0005428675439323859,542.867543932386,3726.950786270823,1.427,2.3993564961659486e-21,-20.61990521980406,7.640286909736712,1.427
0.2,0.0005963623316594642,596.3623316594642,3392.6365102064,1.427,2.895525761843232e-21,-20.538272566742837,7.640286909736712,1.427
0.2,0.0006551285568595509,655.1285568595509,3088.3108338284005,1.427,3.4942991801739995e-21,-20.456639913681613,7.640286909736712,1.427
0.2,0.0007196856730011522,719.6856730011522,2811.2837251054702,1.427,4.216894534826023e-21,-20.37500726062039,7.640286909736712,1.427
0.2,0.0007906043210907702,790.6043210907702,2559.106452780728,1.427,5.0889172909802506e-21,-20.293374607559162,7.640286909736712,1.427
0.2,0.000868511373751352,868.511373751352,2329.549941252645,1.427,6.141267935577183e-21,-20.21174195449794,7.640286909736712,1.427
0.2,0.0009540954763499944,954.0954763499943,2120.5850670625373,1.427,7.411236948848844e-21,-20.130109301436715,7.640286909736712,1.427
0.2,0.0010481131341546852,1048.1131341546852,1930.3647228230589,1.427,8.943826207905043e-21,-20.04847664837549,7.640286909736712,1.427
0.2,0.0011513953993264468,1151.3953993264467,1757.2074900449393,1.427,1.0793343646856959e-20,-19.966843995314267,7.640286909736712,1.427
0.2,0.0012648552168552957,1264.8552168552958,1599.5827765409636,1.427,1.3025327680918232e-20,-19.88521134225304,7.640286909736712,1.427
0.2,0.0013894954943731374,1389.4954943731375,1456.0972870318585,1.427,1.5718869587247862e-20,-19.803578689191816,7.640286909736712,1.427
0.2,0.0015264179671752333,1526.4179671752333,1325.4827073634988,1.427,1.8969416137060084e-20,-19.721946036130593,7.640286909736712,1.427
0.2,0.0016768329368110067,1676.8329368110067,1206.5844934722634,1.427,2.2892151791428993e-20,-19.64031338306937,7.640286909736712,1.427
0.2,0.0018420699693267163,1842.0699693267163,1098.3516660006235,1.427,2.762608031029499e-20,-19.558680730008142,7.640286909736712,1.427
0.2,0.0020235896477251553,2023.5896477251554,999.8275203543212,1.427,3.3338950408174995e-20,-19.477048076946918,7.640286909736712,1.427
0.2,0.0022229964825261957,2222.996482526196,910.1411700843187,1.427,4.0233199999225224e-20,-19.395415423885694,7.640286909736712,1.427
0.2,0.0024420530945486497,2442.05309454865,828.4998488428279,1.427,4.8553129668435144e-20,-19.31378277082447,7.640286909736712,1.427
0.2,0.0026826957952797246,2682.6957952797247,754.1819028678774,1.427,5.85935595638746e-20,-19.232150117763247,7.640286909736712,1.427
0.2,0.0029470517025518097,2947.0517025518097,686.5304120548077,1.427,7.071027647054603e-20,-19.15051746470202,7.640286909736712,1.427
0.2,0.0032374575428176433,3237.457542817643,624.94738322926,1.427,8.533264126222725e-20,-19.068884811640796,7.640286909736712,1.427
0.2,0.0035564803062231283,3556.4803062231285,568.8884642941648,1.427,1.0297880348157175e-19,-18.987252158579572,7.640286909736712,1.427
0.2,0.003906939937054613,3906.9399370546125,517.8581325273736,1.427,1.2427406218340423e-19,-18.90561950551835,7.640286909736712,1.427
0.2,0.004291934260128779,4291.934260128779,471.40531449775966,1.427,1.4997302366528692e-19,-18.82398685245712,7.640286909736712,1.427
0.2,0.00471486636345739,4714.8663634573895,429.1193988828314,1.427,1.8098634125369578e-19,-18.742354199395898,7.640286909736712,1.427
0.2,0.005179474679231213,5179.474679231213,390.62660694385806,1.427,2.1841298468119866e-19,-18.660721546334674,7.640286909736712,1.427
0.2,0.005689866029018293,5689.866029018293,355.5866885760047,1.427,2.635791825333405e-19,-18.57908889327345,7.640286909736712,1.427
0.2,0.0062505519252739694,6250.55192527397,323.68991472877576,1.427,3.1808541770696566e-19,-18.497456240212227,7.640286909736712,1.427
0.2,0.006866488450042998,6866.488450042998,294.6543396118356,1.427,3.8386314118345304e-19,-18.415823587151,7.640286909736712,1.427
0.2,0.007543120063354615,7543.120063354615,268.223308485949,1.427,4.632432137928869e-19,-18.334190934089776,7.640286909736712,1.427
0.2,0.008286427728546842,8286.427728546842,244.16318900961733,1.427,5.590385012313669e-19,-18.252558281028552,7.640286909736712,1.427
0.2,0.009102981779915217,9102.981779915217,222.2613060880542,1.427,6.74643549120054e-19,-18.17092562796733,7.640286909736712,1.427
0.2,0.01,10000.0,202.32406196997164,1.427,8.14154870132879e-19,-18.0892929749061,7.640286909736712,1.427
