run_id,current_density_mA_cm2,potential_V_vs_SHE,pH_bulk,temperature_C,bath_fe_M,bath_ni_M,carbon_loading_g_L,fe_wt_percent_predicted,ni_wt_percent_predicted,current_efficiency_percent_predicted,carbon_wt_percent_predicted,surface_blocking_factor,is_anomalous_predicted,mechanism_fe_ni,notes
SYNTHETIC-PHASE3-hydroxide_suppression-001,130.83333333333334,-1.001,3.5,60.0,0.6,0.4,2.5,40.34,59.66,75.9,0.03,0.993,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,142.91666666666669,-1.016,3.5,60.0,0.6,0.4,2.5,47.95,52.05,71.9,0.03,0.993,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,155.0,-1.028,3.5,60.0,0.6,0.4,2.5,54.53,45.47,68.4,0.03,0.992,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,167.08333333333334,-1.038,3.5,60.0,0.6,0.4,2.5,60.13,39.87,65.2,0.03,0.992,False,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,179.16666666666669,-1.047,3.5,60.0,0.6,0.4,2.5,64.85,35.15,62.4,0.04,0.992,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,191.25,-1.055,3.5,60.0,0.6,0.4,2.5,68.8,31.2,59.9,0.04,0.992,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,203.33333333333334,-1.062,3.5,60.0,0.6,0.4,2.5,72.09,27.91,57.7,0.04,0.992,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,215.41666666666669,-1.069,3.5,60.0,0.6,0.4,2.5,74.83,25.17,55.6,0.04,0.992,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,227.5,-1.075,3.5,60.0,0.6,0.4,2.5,77.38,22.62,53.7,0.04,0.992,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,239.58333333333334,-1.081,3.5,60.0,0.6,0.4,2.5,80.73,19.27,51.3,0.05,0.991,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,251.66666666666669,-1.086,3.5,60.0,0.6,0.4,2.5,83.78,16.22,49.2,0.05,0.991,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,263.75,-1.092,3.5,60.0,0.6,0.4,2.5,86.56,13.44,47.2,0.05,0.991,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,275.83333333333337,-1.096,3.5,60.0,0.6,0.4,2.5,89.1,10.9,45.3,0.05,0.991,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,287.9166666666667,-1.101,3.5,60.0,0.6,0.4,2.5,91.46,8.54,43.5,0.05,0.991,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
SYNTHETIC-PHASE3-hydroxide_suppression-001,300.0,-1.105,3.5,60.0,0.6,0.4,2.5,93.64,6.36,41.8,0.06,0.991,True,hydroxide_suppression,Synthetic Phase III screening; mechanism=hydroxide_suppression. Not wet-lab data. Verify by SEM-EDS and combustion analysis.
